SITE ADDRESS,SITE ADDRESS 2,CITY,STATE,ZIP
"21701 Filigree Court, Bldg D",,Ashburn,VA,20147
44470 Chilum Place (Bldg 1), Bldg 1,Ashburn,VA,20147
8801 Park Central Dr. Suite 200,,Richmond,VA,23227
1 Beacon St.,,Boston,MA,2108
1 Cabot Road,,Medford,MA,2155
105 Cabot St,,Needham,MA,2494
200 Quannapowitt Parkway,,Wakefield,MA,1880
55 Middlesex Turnpike,,Bedford,MA,1803
70 Innerbelt Road,,Somerville,MA,2143
800 Boylston Street,,Boston,MA,2116
2 Emerson Lane,,Secaucus,NJ,7094
2367 N Penn Rd.,,Hatfield,PA,19440
115 Evergreen Heights Drive,,Pittsburgh,PA,15229
630 3rd Street,,San Francisco,CA,94107
10555 Cossey Road,,Houston,TX,77070
5170 Westway Park Blvd,,Houston,TX,77041
"76 Inverness Drive East, Suite B",Suite B,Englewood,CO,80112
900 South Broadway,Suite 400,Denver,CO,80209
2140 SW Jefferson St.,,Portland,OR,97201
1023 39th Avenue SE ,,Seattle,WA,98374
12201 Tukwila International (Intergate West),,Tukwila,WA,98168
2707 Colby Ave.,,Everett,WA,98201
6101 S 180th St,,Tukwila,WA,98188
180 East 5th Street,,St. Paul,MN,55101
600 Stinson Boulevard,,Minneapolis,MN,55413
615 North 3rd St.,,Minneapolis,MN,55401
"1000 Hemphill Avenue, NW",,Atlanta,GA,30318
1033 Jefferson Street,,Atlanta,GA,30319
1100 White Street SW,,Atlanta,GA,30310
1130 Powers Ferry Place SE,,Marietta,GA,30067
11650 Great Oaks Way,,Alpharetta,GA,30022
"250 Williams St. NW, Suite E-100",Suite E-100,Atlanta,GA,30303
270 Peachtree Street NE,,Atlanta,GA,30303
2775 Northwoods Parkway,,Norcross,GA,30071
300 Satellite Boulevard,,Suwanee,GA,30024
450 Interstate Parkway SE,,Atlanta,GA,30308
55 Marietta Street,,Atlanta,GA,30303
"56 Marietta Street NW, 5th Floor",5th Floor,Atlanta,GA,30303
6 West Druid Hills Drive,,Atlanta,GA,30329
1661 Murfreesboro Road,,Nashville,TN,37217
209 10th Ave South,,Nashville,TN,37203
211 Commerce Street,,Nashville,TN,37201
425 Duke Dr. Suite 400,Suite 400,Franklin,TN,37067
500 W. Summit Hill,,Knoxville,TN,37902
7100 Commerce Way,Suite 50,Brentwood,TN,37027
101 North Wacker Drive,,Chicago,IL,60606
111 North Canal St. Suite 200,Suite 200,Chicago,IL,60606
1221 E. Business Center Drive,,Mt. Prospect,IL,60056
1331 E. Business Center Drive,,Mt. Prospect,IL,60056
141 West Jackson Boulevard,Suite 1135,Chicago,IL,60604
1717 Park Street,,Naperville,IL,60563
1808 Swift Drive,,Oak Brook,IL,60523
184 Shuman Boulevard,,Naperville,IL,60540
1850 Springer Drive,,Lombard,IL,60148
1905 Lunt Street,,Elk Grove Village,IL,60007
2200 Busse Road,,Elk Grove Village,IL,60623
2425 Busse Road,,Elk Grove Village,IL,60007
341-361 Haynes Dr.,,Wood Dale,IL,60191
"350 East Cermak Rd, 5th Floor, Ste 650",5th Floor,Chicago,IL,60616
427 South LaSalle Street,,Chicago,IL,60605
4901 Colt Road,,Rockford,IL,61109
505 Railroad Avenue,,Northlake,IL,60164
600 South Federal Street,5th Floor,Chicago,IL,60605
711 N. Edgewood Avenue,,Wood Dale,IL,60191
717 South Wells Street,,Chicago,IL,60607
800 E. Business Center Drive,,Mt. Prospect,IL,60056
835 Oak Creek Drive,,Lombard,IL,60148
506 W. South Street,,South Bend,IN,46120
100 Biscayne Boulevard,Suite 605,Miami,FL,33132
100 NE 3rd Avenue,,Fort Lauderdale,FL,33301
100 NE 80th Terrace,,Miami,FL,33138
11234 NW 20th Street,,Miami,FL,33172
200 SE 1st Street,,Miami,FL,33131
200 W. Forsythe Street,,Jacksonville,FL,32202
2115 NW 22nd Street,,Miami,FL,33142
36 NE 2nd Street,,Miami,FL,33132
421 West Church Street,,Jacksonville ,FL,32202
4800 Spring Park Road,,Jacksonville ,FL,32207
4814 Philips Hwy,,Jacksonville ,FL,32207
4905 Belfort Road ,Ste 145,Jacksonville ,FL,32256
50 NE 9th Street,,Miami,FL,33132
5301 NW 33rd Avenue,,Fort Lauderdale,FL,33309
600 SW 3rd Street,Suite 2170,Pompano Beach,FL,33060
6425 Southpoint Pkwy,,Jacksonville ,FL,32216
800 Water Street,,Jacksonville ,FL,32202
2425 Technology Boulevard,,Columbus,IN,47201
401 North Shadeland Avenue,,Indianapolis,IN,46219
5312 W Washington Center,,Fort Wayne,IN,46818
620 W. Coliseum Boulevard,,Fort Wayne,IN,46808
701 W Henry Street,,Indianapolis,IN,46225
733 W Henry Street,,Indianapolis,IN,46225
740 W Henry Street,,Indianapolis,IN,46225
19675 West Ten Mile Road,,Southfield,MI,48075
21420 Melrose Avenue,,Southfield,MI,48075
21648 Melrose Avenue,,Southfield,MI,48075
24275 Northwestern Highway,DC1,Southfield,MI,48075
24660 Lahser Road,,Southfield,MI,48034
3131 S State St. Suite 306,Suite 306,Ann Arbor,MI,48108
319 Executive Drive,,Troy,MI,48083
400 76th St SW,,Grand Rapids,MI,49509
44675 Helm Court,,Plymouth,MI,48170
4815 Delemere Avenue,,Royal Oak,MI,48073
5225 Exchange Drive,,Flint,MI,48507
5430 Data Court,Suite 300,Ann Arbor,MI,48108
640 Avis Dr.,,Ann Arbor,MI,48108
100 S. Charles Street,Suite 215,Baltimore,MD,21201
1050 Hull Street,,Baltimore,MD,21230
111 Market Place,7th Floor,Baltimore,MD,21202
1401 Russell Street,,Baltimore,MD,21230
14405 Laurel Place,,Laurel,MD,20707
300 West Lexington Street,,Baltimore,MD,21201
5744-R Industry Lane,,Frederick,MD,21704
12100 Sunrise Valley Drive,,Reston,VA,20191
"21635 Red Rum Dr., Suite 100",Suite 100,Ashburn,VA,20147
"21711 Filigree Court, Bldg C",,Ashburn,VA,20147
"21715 Filigree Court, Bldg F",,Ashburn,VA,20147
44664 Guilford Drive,,Ashburn,VA,20147
4551 Cox Road (Glen Allen or Richmond),,Richmond,VA,23060
45901 Nokes Boulevard,,Sterling,VA,20166
6000 Technology Boulevard,,Richmond,VA,23150
8851 Park Central Drive,Suite 200,Richmond,VA,23227
1 First Avenue (1 1st),,Waltham,MA,2451
1 Summer Street,,Boston,MA,2110
100 Quannapowitt Parkway,,Wakefield,MA,1880
1050 Hingham Street,,Rockland,MA,2370
115 Second Avenue ,,Waltham,MA,2451
128 First Avenue,,Needham,MA,1880
1504 Providence Highway,,Norwood,MA,2062
300 Bent Street,,Cambridge,MA,2141
305 Winter Street,,Waltham,MA,2451
313 Boston Post Rd West,,Marlborough,MA,1752
34 St Martin Drive,,Marlborough,MA,1752
400 Minuteman Road,,Andover,MA,1810
41 Alexander Road,,Billerica,MA,1821
456 Bedford Street,,Fall River,MA,2720
480 Arsenal Street,,Watertown,MA,2471
580 Winter Street,,Waltham,MA,2451
1 Sundial Avenue,,Manchester,NH,
8 Commerce Drive,,Bedford,NH,3110
1201 N Market Street,,Wilmington,DE,19801
650 Pencader Drive,,Newark,DE,19702
1 Enterprise Avenue North,,Secaucus,NJ,7094
1 Farr View Drive,,Cranbury,NJ,8512
100 Twinbridge Drive,Suite A,Pennsauken,NJ,8110
125 Belmont Drive,,Somerset,NJ,8873
"165 Halsey St, 8th Floor",8th Floor,Newark,NJ,7102
275 Hartz Way,,Secaucus,NJ,7094
755 Secaucus Road,,Secaucus,NJ,7094
1000 Adams Avenue,Comcast Rack,Trooper,PA,19403
1100 East Hector St,,Conshohocken,PA,19428
1500 Spring Garden,3rd Flr MMR,Philadelphia,PA,
2401 Locust Street,,Philadelphia,PA,19103
3701 Market Street,5th Floor,Philadelphia,PA,19104
401 North Broad Street Suite 990,9th Floor (Suite 990),Philadelphia,PA,19123
4775 League Island Boulevard,Navy Yard,Philadelphia,PA,19112
833 Chestnut Street,8th Flr POP Rm,Philadelphia,PA,19107
1 Allegheny Center Mall,,Pittsburgh,PA,15212
1 Meridian Boulevard,Suite 2D01,Wyomissing,PA,19610
100 South Commons / Allegheny Center Mall,Suite 126,Pittsburgh,PA,15212
1144 Kennebec Drive,,Chambersburg,PA,17201
2500 Allegheny Center Mall,,Pittsburgh,PA,15212
2561 Bernville Road,,Reading,PA,19605
301 Chestnut Street,,Harrisburg,PA,17101
90 Beta Drive,,Pittsburgh,PA,15238
1 Enterprise Drive,# 400,Shelton,CT,6484
105 Darling Drive,,Avon ,CT,6001
4 Pin Oak Drive,,Branford,CT ,6702
4 Tower Lane ,,Wallingford,CT,6492
65 N. Plains Industrial Road,Suite 9,Wallingford,CT ,6492
66 Hawley Road,,Oxford,CT,6478
1 Federal Street,,Springfield,MA,1105
10 Hamilton Landing,,Novato,CA,94945
1075 Triangle Court,,Broderick,CA,95605
11 Great Oaks Boulevard,,San Jose,CA,95119
1100 North Market Boulevard,,Sacramento,CA,95834
11085 Sun Center Drive,,Rancho Cordova,CA,95670
1200 Striker Avenue,,Sacramento,CA,95834
1312 Striker Ave.,,Sacramento,CA,95834
1320 Kifer Road,,Sunnyvale,CA,94086
1350 Duane Avenue,,Santa Clara,CA,950054
1380 Kifer Road,,Sunnyvale,CA,94086
1515 K Street,,Sacramento,CA,95814
1550 Space Park Drive,,Santa Clara,CA,95054
1555 Plymouth Street,,Mountain View,CA,94043
1624 Franklin Street,,Oakland,CA,94612
1656 McCarthy Boulevard,,Milpitas,CA,95035
1735 Lundy Avenue,,San Jose,CA,95131
200 Paul Avenue   ,,San Francisco,CA,94110
2334 Lundy Place,,San Jose,CA,95101
2401 Walsh Avenue,,Santa Clara,CA,95051
2720 Zanker Road,,San Jose,CA,95134
2807 Mission College Boulevard,,Santa Clara,CA,95054
3030 Corvin Drive,,Santa Clara,CA,95051
360 Spear Street,,San Francisco,CA,94105
365 Main Street,,San Francisco,CA,94105
400 Holger Way,,San Jose,CA,95134
4235 Forcum Avenue,,McClellan,CA,95652
444 Toyoma Drive,,Sunnyvale,CA,94089
4650 Old Ironsides Drive,,Santa Clara,CA,95054
48233 Warm Springs Boulevard,,Fremont,CA,94539
5000 Hollis Street,,Emeryville,CA,94608
529 Bryant Street,1st Floor,Palo Alto,CA,94301
55 South Market Street,Suite 440,San Jose,CA,95113
720 2nd Street,,Oakland,CA,94607
760 Mission Court,,Fremont,CA,94539
801 Tenth Street,Modesto Post Tower,Modesto,CA,95354
9 Great Oaks Boulevard,,San Jose,CA,95119
1001 Texas Street,Suite 310,Houston,TX,77002
12001 North Freeway,I-45,Houston,TX,77060
12025 North Freeway,,Houston,TX,77060
1301 Fannin St. Suite 1100,Suite 1100,Houston,TX,77022
1510 Primewest Parkway,,Katy,TX,77449
2401 Portsmouth Street,,Houston,TX,77098
4201 Southwest Freeway,,Houston,TX,77027
5150 Westway Park Blvd,,Houston,TX,77041
5555 San Felipe Street,Suite 625,Houston,TX,77056
"757 N Eldridge Parkway, Suite 200",,Houston,TX,77079
780 Westridge Road,,The Woodlands,TX,77380
102 South Tejon Street,,Colorado Springs,CO,80903
11900 E. Cornell Ave. Suite A,,Aurora,CO,80014
1205 Shasta Drive,,Colorado Springs,CO,80910
12500 East Arapahoe Road,,Centennial,CO,80112
1850 Pearl Street,,Denver,CO,80203
335 Inverness Drive South,,Englewood,CO,80112
382 S. Arthur Avenue,,Louisville,CO,80027
393 Inverness Parkway,,Englewood,CO,80112
4300 Brighton Boulevard,,Denver,CO,80216
451 Railroad Avenue,,Loveland,CO,80537
5335 Sterling Drive,,Boulder,CO,80301
550 E. 84th Avenue Suite E-5,Suite E-5,Thorton,CO,80229
6900 S. Peoria Street,,Englewood,CO,80112
910 15th Street,,Denver,CO,80202
9150 Commerce Center Circle,,Higlands Ranch,CO,80129
9180 Commerce Center Circle,,Higlands Ranch,CO,80129
9706 East Easter Avenue,Suite 160,Englewood,CO,80112
1155 S 800 E,,Orem,UT,84097
118 South 1000 West,,Salt Lake City,UT,84111
1414 South Main Street,,Salt Lake City,UT,84115
14944 Pony Express Drive,,Bluffdale,UT,84065
179 Social Hall Ave. St. 200,,Salt Lake City,UT,84111
2302 South Presidents Drive,,West Valley City,UT,84120
265 East 100 South,,Salt Lake City,UT,84111
333 South 520 West,,Lindon,UT,84042
357 South 670 West,Suite 100,Lindon,UT,84042
510 East Technology Avenue,Bldg C Suite 1100,Orem,UT,84097
572 South Delong Street,,Salt Lake City,UT,84104
703 East Technology Avenue,,Orem,UT,84097
7202 South Campus View Drive,,West Jordan,UT,84084
1225 W Burnside Street,,Portland,OR,97209
1233 NW 12th Ave. Suite 201,,Portland,OR,97209
13455 SE 97th Avenue,,Clackamas,OR,97015
14945 SW Sequoia Parkway,Suite 110,Portland,OR,97224
21515 NW Evergreen Parkway,,Hillsboro,OR,97124
3935 NW Aloclek Place,,Hillsboro,OR,97124
"511 SW 10th Avenue, Suite 300",3rd Floor,Portland,OR,97205
520 SW 6th Avenue,,Portland,OR,97204
625 SW Stark St. Ste. 500,Suite 500,Portland,OR,97205
921 SW Washington Street,Alco Properties,Portland,OR,97205
9705 SW Sunshine Court,,Beaverton,OR,97005
"1000 Denny Way, 4th Floor",4th Floor,Seattle,WA,98109
1101 A. St. Suite 400,,Tacoma,WA,98402
12101 Tukwila International Blvd.,,Seattle,WA,98168
12301 Tukwila International Boulevard,,Tukwila,WA,98168
140 Fourth Avenue North,Suite 200,Seattle,WA,98109
2001 6th Ave.,,Seattle,WA,98121
3301 Monte Villa Pkwy Suite 125,,Bothell,WA,98021
3355 South 120th Place (building 5),,Tukwila,WA,98168
4200 194th Street SW,,Lynnwood,WA,98036
422 West Riverside Avenue,,Spokane,WA,99201
501 S. 336th Street,,Federal Way,WA,98003
10290 West 70th Street,,Eden Prairie,MN,55344
12450 Wayzata Boulevard,,Minnetonka,MN,55305
400 Roberts Street,,Saint Paul,MN,55107
511 11th Avenue South,,Minneapolis,MN,55415
7700 France Avenue South,,Edina,MN,55435