EDC ID,Address,Market,Internet Exchange,123.NET,Alpheus,AT&T,CenturyLink,Charter,CoastCom,Cogent,Comcast,Cox,DQE,Electric Lightwave (Integra),EnTouch,euNetworks,FiberLight,Fibertech,FORETHOUGHT.net,FPL (Fibernet Direct),GTT,Interoute,Layer 42 (Wave),Level 3,Level 3 (Former Global Crossing),Lightower,Lumos,Megaport,MUFN,Neutral Path Communications LH,Paxio,Phonoscope,Silicon Valley Fiber,Southern Light,Summit IG,Telia,TelNet,Time Warner Cable,US Signal,Verizon Fiber,Wave,Windstream,WOW! Business,Xmission Utopia,XO,Zayo,Nearby
EDCAMS01,Koolhovenlaan 12 Schiphol-Rijk NL,Amsterdam (Netherlands),NL-IX,,,,,,,,,,,,,"Diverse Entrances, Dark, Lit, IP Transit, Business DIA, IP Local Peering",,,,,,"Diverse Entrances, Dark, IP Transit, Business DIA, IP Global Peering, IP Local Peering",,"Diverse Entrances, Dark, Lit, IP Transit, Business DIA, IP Global Peering, IP Local Peering","Diverse Entrances, Dark, Lit, IP Transit, Business DIA, IP Global Peering, IP Local Peering",,,,,,,,,,,,,,,,,,,,,,"Telia, Zayo, Zayo Metro"
EDCAMS02,Cessnalaan 55 Schiphol-Rijk NL,Amsterdam (Netherlands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDCAMS03,Koolhovenlaan 20 Schiphol-Rijk NL,Amsterdam (Netherlands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDCAMS04,Capronilaan 25 Schiphol-Rijk  NL,Amsterdam (Netherlands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDCATL01,1003 Donnelly Ave SW Atlanta GA 30310,Atlanta,Community IX-Awaiting red-lines d.temkin  ~6/30/17,,,Business DIA,"Diverse Entrances, Dark, Lit, IP Transit, Business DIA",,,,"Diverse Entrances, Lit, Business DIA, IP Local Peering",,,,,,,,,,,,,"Diverse Entrances, Dark, Lit, IP Transit, Business DIA",,,,,,,,,,,,,,"Diverse Entrances, IP Global Peering, IP Local Peering",,,,"Diverse Entrances, Lit, IP Transit, Business DIA",,,,"Diverse Entrances, Dark, Lit, IP Transit, Business DIA","FiberLight, Southern Telecom, XO"
EDCBOS01,22 Linnell Circle Billerica MA 01821,Boston,MASS-IX,,,,,,,,"Diverse Entrances, Lit, Business DIA, IP Local Peering",,,,,,,,,,,,,,,"Diverse Entrances, Dark, Lit, IP Transit, Business DIA",,"Diverse Entrances, Lit, IP Transit, Business DIA",,,,,,,,,,,,Business DIA,,,,,,,"CenturyLink, FirstLight, Level 3, XO, Zayo"
EDCCHI01,1800 Nicholas Blvd Elk Grove Village IL 60007,Chicago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDCDEN01,"8535 Highfield Pky, Bldg 3 Suite 500/600 Englewood CO 80112",Denver,IX-Denver-Waiting on board to review app.~9/30/17,,,,"Diverse Entrances, Lit, Business DIA",,,,"Diverse Entrances, Lit, Business DIA, IP Local Peering",,,"Diverse Entrances, Dark, Lit, IP Transit, Business DIA",,,,,"Diverse Entrances, Lit, IP Transit, Business DIA",,,,,"Diverse Entrances, Lit, IP Transit, Business DIA",,,,,,,,,,,,,,,,,,,,,,"Diverse Entrances, Dark, Lit, IP Transit, Business DIA","Windstream, XO"
EDCDET01,"21005 Lahser Rd, Bldg 4 Southfield MI 48033",Detroit,DET-IX,"Diverse Entrances, Dark, Lit, IP Transit, Business DIA, IP Global Peering, IP Local Peering",,"Diverse Entrances, Business DIA",,,,,"Diverse Entrances, Lit, Business DIA, IP Local Peering",,,,,,,"Diverse Entrances, Dark, Lit, IP Transit, Business DIA",,,"Diverse Entrances, Lit, IP Transit, Business DIA",,,,,,,,,,,,,,,"Diverse Entrances, Lit, IP Transit, Business DIA","Diverse Entrances, IP Transit, Business DIA",,"Diverse Entrances, Dark, Lit, Business DIA, IP Local Peering",,,,"Diverse Entrances, Dark, Lit, IP Transit, Business DIA, IP Global Peering, IP Local Peering",,,,"CenturyLink, ComLink, Level 3, Windstream, XO, Zayo"
EDCDUB01,"Grange Castle Business Park, Old Angor Rd Dublin IE 00022",Dublin (Ireland),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EasyNet, euNetworks, Level 3, SSE Enterprise Telecoms, Telia, Zayo Metro"
EDCHOU01,1510 Primewest Parkway Katy TX 77449,Houston,,,"Diverse Entrances, Dark, Lit, Business DIA","Diverse Entrances, Lit, Business DIA",,,,"Diverse Entrances, IP Transit, Business DIA","Diverse Entrances, Lit, Business DIA, IP Local Peering",,,,"Lit, IP Transit, Business DIA",,,,,,,,,"Diverse Entrances, Dark, Lit, IP Transit, Business DIA",,,,,,,,"Lit, IP Transit, Business DIA",,,,,,,,,,,,,,"Diverse Entrances, Dark, Lit, IP Transit, Business DIA","CenturyLink, EarthLink, Verizon Fiber, XO"
EDCJAX01,"6602 Executive Park Ct N, Unit #105 Jacksonville FL 32216",Jacksonville,,,,,,,,,"Diverse Entrances, Lit, IP Transit, IP Local Peering",,,,,,,,,"Diverse Entrances, Dark, Lit, IP Transit, Business DIA",,,,,,,,,,,,,,,,,,,,,,,,,,,"DFS Fiber, Level 3, Parallel Infrastructure, Windstream"
EDCLAS01,1541 Pama Ln Las Vegas NV 89119,Las Vegas,Vegas-IX,,,,,,,"Diverse Entrances, IP Transit, Business DIA",,"Diverse Entrances, Lit, IP Transit, Business DIA, IP Global Peering, IP Local Peering",,"Diverse Entrances, Dark, Lit, IP Transit, Business DIA",,,,,,,,,,"Diverse Entrances, Lit, IP Transit, Business DIA",,,,,,,,,,,,,,,,,,,,,,"Diverse Entrances, Dark, Lit, IP Transit, Business DIA","Telepacific, XO"
EDCMAD01,"4916 E Broadway, Pod #1 Madison WI 53716",Madison,MAD-IX:not choosen when they willbe rolling outyet,,,"Diverse Entrances, Lit, IP Transit, Business DIA",,Diverse Entrances,,,,,,,,,,,,,,,,,,,,,"Diverse Entrances, Dark",,,,,,,,,,,,,Business DIA,,,,,
EDCMEM01,"4005 S Mendenhall Rd, unit #6 Memphis TN 38115",Memphis-Jackson,,,,,,,,,"Diverse Entrances, Lit, Business DIA, IP Local Peering",,,,,,,,,,,,,"Diverse Entrances, Lit, IP Transit, Business DIA",,,,,,,,,,,,,,,,,,,,,,"Diverse Entrances, Dark, Lit, IP Transit, Business DIA","Windstream, XO"
EDCMIA01,2132 NW 114th Ave Miami FL 33172,Miami-Fort Lauderdale,Community IX-Awaiting red-lines D.temkin ~6/30/17,,,"Diverse Entrances, Lit, IP Transit, Business DIA",,,,,"Diverse Entrances, Lit, Business DIA, IP Local Peering",,,,,,"Diverse Entrances, Dark, Lit, IP Transit, Business DIA",,,,,,,"Diverse Entrances, Dark, Lit, IP Transit, Business DIA",,,,,,,,,,,,,,,,,,,,,,,"CenturyLink, Windstream, Zayo"
EDCMIA02,475 NE 185th St Miami Gardens FL 33179,Miami-Fort Lauderdale,Community-IX-Awaiting red-lines D.temki ~6/30/17,,,,,,,,,,,,,,,,,"Diverse Entrances, Dark, Lit, IP Transit, Business DIA",,,,"Dark, Lit, IP Transit, Business DIA",,,,,,,,,,,,,,,,,,,,,,,
EDCMSP01,6875 Shady Oak Rd Eden Prairie MN 55344,Minneapolis-St. Paul,"MICE-Not a direct node, remote tethering available",,,,"Lit, IP Transit, Business DIA",Diverse Entrances,,,"Diverse Entrances, Lit, Business DIA, IP Local Peering",,,,,,,,,,,,,"Lit, IP Transit, Business DIA",,,,,,"Diverse Entrances, Dark, Lit, IP Transit",,,,,,,,,,,,,,,,,"Arvig, AT&amp;T, Enventis, Windstream"
EDCNAS01,"1841 Air Lane Dr, Building 3 Nashville TN 37210",Nashville,,,,Business DIA,,Diverse Entrances,,,"Diverse Entrances, Lit, Business DIA, IP Local Peering",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Diverse Entrances, Dark, Lit, IP Transit, Business DIA","Iris Networks, Level 3, NesNet, Windstream, XO"
EDCNOR01,"3800 Village Ave, Suite C Norfolk VA 23502",Norfolk,,,,,,,,,,"Diverse Entrances, Lit, IP Transit, Business DIA, IP Global Peering, IP Local Peering",,,,,,,,,,,,"Diverse Entrances, Lit, IP Transit, Business DIA",,,"Diverse Entrances, Dark, Lit, IP Transit, Business DIA",,,,,,,,,,,,,,,,,,,,"Lightower, Summit IG, Windstream"
EDCPHX01,"3011 S. 52nd St, Suite 107 Tempe AZ 85282",Phoenix,PHX-IX,,,,"Diverse Entrances, Lit, Business DIA",,,"Diverse Entrances, IP Transit, Business DIA",,"Diverse Entrances, Lit, IP Transit, Business DIA, IP Global Peering, IP Local Peering",,"Diverse Entrances, Dark, Lit, IP Transit, Business DIA",,,,,,,,,,"Diverse Entrances, Lit, IP Transit, Business DIA",,,,"Diverse Entrances, Lit, IP Transit, Business DIA",,,,,,,,,,,,,,,,,"Diverse Entrances, Lit, IP Transit, Business DIA","Diverse Entrances, Dark, Lit, IP Transit, Business DIA","SRP, Windstream"
EDCPIT01,282 Corliss St Pittsburgh PA 15220,Pittsburgh,,,,,,,,,"Diverse Entrances, Lit, Business DIA, IP Local Peering",,"Diverse Entrances, Dark, Lit, IP Transit, Business DIA",,,,,,,,,,,"Dark, Lit, IP Transit, Business DIA",,,,,,,,,,,,,,,,,,,,,,,"Fibertech, Lightower, Lumos, Sunesys, Windstream, Zayo"
EDCPOR01,"23245 NW Evergreen Parkway - Building C, Suite C-300 Hill",Portland,NWAX,,,,,Diverse Entrances,"Diverse Entrances, Dark",,"Diverse Entrances, Lit, Business DIA, IP Local Peering",,,"Diverse Entrances, Dark, Lit, IP Transit, Business DIA",,,,,,,,,,"Diverse Entrances, Lit, IP Transit, Business DIA",,,,"Diverse Entrances, Lit, Business DIA",,,,,,,,"Diverse Entrances, Lit, IP Transit, Business DIA",,,,,,,,,"Diverse Entrances, Lit, IP Transit, Business DIA","Diverse Entrances, Dark, Lit, IP Transit, Business DIA",CenturyLink
EDCPOR11,"23215 NW Evergreen Pkwy, Bldg A Hillsboro OR 97124",Portland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDCRIC01,"1450 E Parham Rd, Suite 1450 Richmond VA 23228",Richmond,RVA-IX-S.Brown waiting on more content ~12/31/17  ,,,,,,,,"Diverse Entrances, Lit, Business DIA, IP Local Peering",,,,,,,,,,,,,,,,,,,,,,,,"Diverse Entrances, Dark",,,,,,,,,,,"Diverse Entrances, Dark, Lit, IP Transit, Business DIA","Level 3, Lumos, Windstream"
EDCSAC01,10980 Gold Center Dr Rancho Cordova CA 95670,Sacramento,,,,,,,,,"Diverse Entrances, Lit, Business DIA",,,"Diverse Entrances, Dark, Lit, IP Transit, Business DIA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AT&amp;T, CenturyLink, Level 3, Point to Point , Sprint, XO, Zayo"
EDCSCC01,1690 Richard Ave Santa Clara CA 95050,Santa Clara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDCSDG01,5761 Copley Dr Suite 150 (B) San Diego CA 92111,San Diego,,,,,,,,,,"Diverse Entrances, Lit, IP Transit, Business DIA, IP Global Peering, IP Local Peering",,,,,,,,,"Diverse Entrances, Lit, IP Transit, Business DIA",,,"Diverse Entrances, Lit, IP Transit, Business DIA",,,,,,,,,,,,,,,,,,,,,"Diverse Entrances, Lit, IP Transit, Business DIA","Diverse Entrances, Dark, Lit, IP Transit, Business DIA","CenturyLink, Crown Castle, M Power, Telepacific, Verizon Fiber"
EDCSEA01,"3425 S 116th St, Building 6, Suite 133 Seattle WA 98168",Seattle,SIX-Waiting on board to review app. ~9/30/17,,,,,,,,"Diverse Entrances, Lit, IP Transit, IP Local Peering",,,"Lit, IP Local Peering",,,,,,,,,,"Diverse Entrances, Dark, Lit, IP Transit, Business DIA",,,,,,,,,,,,,,,,,"Diverse Entrances, Dark, Lit, IP Transit, Business DIA, IP Global Peering, IP Local Peering",,,,,,"Noel Communications, Spectrum Business, Windstream, XO, Zayo"
EDCSLC01,"2302 South Presidents Drive, Suite A/B West Valley City UT 84120",Salt Lake City,SLIX,,,,,,,,"Diverse Entrances, Lit, Business DIA, IP Local Peering",,,"Diverse Entrances, Dark, Lit, IP Transit, Business DIA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Diverse Entrances, Dark, Lit, IP Transit, Business DIA",,"Diverse Entrances, Dark, Lit, IP Transit, Business DIA, IP Local Peering","CenturyLink, Level 3, Western Fiber Net, Windstream, XO"
EDCSLI01,2070 Gause Blvd E Slidell LA 70461,New Orleans,,,,,,Diverse Entrances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDCSVC01,1700 Richard Ave Santa Clara CA 95051,Santa Clara,,,,,"Diverse Entrances, Lit, IP Transit, Business DIA",,,,,,,,,,,,,,,,,"Diverse Entrances, Dark, Lit, IP Transit, Business DIA",,,,,,,,,"Diverse Entrances, Dark",,,"Diverse Entrances, Lit, IP Transit, Business DIA",,,,,,,,,,,
EDCSVC02,1700 Richard Ave Santa Clara CA 95051,Santa Clara,,,,"Lit, Business DIA","Lit, Business DIA",,,"Diverse Entrances, IP Transit, Business DIA",,,,"Diverse Entrances, Dark, Lit, IP Transit, Business DIA",,,,,,,,,"Diverse Entrances, Lit, IP Transit, Business DIA","Diverse Entrances, Lit, IP Transit, Business DIA",,,,,,,Business DIA,,Dark,,,,,,,,,,,,"Diverse Entrances, Lit, IP Transit, Business DIA","Diverse Entrances, Dark, Lit, IP Transit, Business DIA",
EDCTAL01,"1531 Commonwealth Business Dr, Units 404-408 Tallahassee FL 32303",Tallahassee ,,,,,Business DIA,,,,"Diverse Entrances, Business DIA, IP Local Peering",,,,,,,,,,,,,,,,,,,,,,,"Diverse Entrances, Dark, Lit, IP Transit, Business DIA, IP Global Peering, IP Local Peering",,,,,,,,,,,Business DIA,,"Level 3, Windstream"
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 